"学生所属コード","学籍番号","画面指定年度","画面指定学期","No.","科目詳細区分","科目小区分","開講科目名 ","リーディングプログラム科目","知のジムナスティックス科目","単位数","修得年度","修得学期","評語","合否"
"1234","12A34567","","","1","専門教育系科目（専門教育科目）","必修科目","化学実験法","","","2","2022","冬学期","Ａ","合",	
"1234","12A34567","","","2","専門教育系科目（専門教育科目）","必修科目","化学熱力学１","","","2","2022","夏学期","Ｃ","合",	
"1234","12A34567","","","3","専門教育系科目（専門教育科目）","選択必修科目Ｂ群","有機化学演習２","","","1","2022","冬学期","Ｆ","否",	
"1234","12A34567","","","4","専門教育系科目（専門教育科目）","選択必修科目Ｂ群","高分子科学演習","","","1","2023","夏学期","Ａ","合",	
"1234","12A34567","","","5","専門教育系科目（専門教育科目）","選択科目","化学プログラミング","","","2","2022","冬学期","Ａ","合",	
"1234","12A34567","","","6","専門教育系科目（専門教育科目）","選択科目","化学熱力学２","","","2","2022","冬学期","Ｆ","否",	
"1234","12A34567","","","7","","他学科・専攻・教免等科目","総合演習","","","2","2021","冬学期","Ｆ","否",	
"1234","12A34567","","","8","","他学科・専攻・教免等科目","教職論","","","2","2021","夏学期","Ｆ","否",	
"1234","12A34567","","","9","","他学科・専攻・教免等科目","教育社会・制度学","","","2","2021","夏学期","Ｆ","否",	
"1234","12A34567","","","10","","他学科・専攻・教免等科目","生徒指導・進路指導論","","","2","2021","夏学期","Ｆ","否",	
"1234","12A34567","","","11","教養教育系科目","学問への扉","学問への扉","","","2","2021","夏学期","合","合",	
"1234","12A34567","","","12","教養教育系科目","基盤教養教育科目（人文）","西洋の文学","","","2","2021","夏学期","Ｃ","合",	
"1234","12A34567","","","13","教養教育系科目","基盤教養教育科目（社会）","日本国憲法","","","2","2021","夏学期","Ａ","合",	
"1234","12A34567","","","14","教養教育系科目","基盤教養教育科目（総合）","今、がんは","","","2","2021","冬学期","Ｃ","合",	
"1234","12A34567","","","15","教養教育系科目（高度教養教育科目）","高度教養教育科目（選択）","将来展望特論Ａ","","","0.5","2022","冬学期","Ｆ","否",	
"1234","12A34567","","","16","教養教育系科目","情報教育科目","情報科学基礎","","","2","2021","春学期","Ｓ","合",	
"1234","12A34567","","","17","教養教育系科目","健康・スポーツ教育科目（必修）","スポーツ実習 Ａ","","","1","2021","夏学期","Ａ","合",	
"1234","12A34567","","","18","教養教育系科目","健康・スポーツ教育科目（選択）","健康科学実習 Ａ","","","1","2021","冬学期","Ａ","合",	
"1234","12A34567","","","19","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（必修）","基礎解析学I","","","2","2021","夏学期","Ｂ","合",	
"1234","12A34567","","","20","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（必修）","基礎解析学II","","","2","2021","冬学期","Ｃ","合",	
"1234","12A34567","","","21","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（必修）","線形代数学I","","","2","2021","夏学期","Ｂ","合",	
"1234","12A34567","","","22","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（選択必修）","力学入門","","","2","2021","夏学期","Ａ","合",	
"1234","12A34567","","","23","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（選択必修）","電磁気学入門","","","2","2021","冬学期","Ｃ","合",	
"1234","12A34567","","","24","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（選択）","宇宙地球科学I","","","1","2021","春学期","Ｂ","合",	
"1234","12A34567","","","25","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（選択）","宇宙地球科学II","","","1","2021","夏学期","Ａ","合",	
"1234","12A34567","","","26","専門教育系科目（専門基礎教育科目）","専門基礎教育科目（選択）","生物学詳論","","","2","2021","冬学期","Ｂ","合",	
"1234","12A34567","","","27","国際性涵養教育系科目","第１外国語（総合英語）","総合英語１","","","1","2021","夏学期","Ｂ","合",	
"1234","12A34567","","","28","国際性涵養教育系科目","第１外国語（総合英語）","総合英語２","","","1","2021","夏学期","Ａ","合",	
"1234","12A34567","","","29","国際性涵養教育系科目","第２外国語（フランス語）","フランス語初級I","","","1","2021","夏学期","Ｃ","合",	
"1234","12A34567","","","30","国際性涵養教育系科目","第２外国語（フランス語）","フランス語初級II","","","1","2021","冬学期","Ｃ","合",	
"1234","12A34567","","","31","国際性涵養教育系科目","第２外国語（フランス語）","フランス語中級１","","","1","2022","夏学期","Ａ","合",	
"1234","12A34567","","","32","国際性涵養教育系科目","グローバル理解","国際コミュニケーション演習（フランス語）１","","","2","2021","夏学期","Ａ","合",	
